0,1,2
0.0030445424,0.0030445422,0.20034632
0.003960354,0.003960354,0.20407493
0.00482344,0.0048234393,0.20720884
0.0050524543,0.0050524552,0.20899019
0.0034802642,0.0034802645,0.20893513
-0.0026141694,-0.0026141685,0.20607404
-0.009720745,-0.009720745,0.19925149
-0.024002718,-0.02400271,0.20055087
-0.03126235,-0.03126235,0.19758281
-0.031120444,-0.031120438,0.19078001
-0.030220766,-0.030220756,0.18400435
-0.028197572,-0.028197559,0.17716917
-0.026251864,-0.026251862,0.17073055
-0.024689982,-0.024689982,0.16472599
-0.023371158,-0.02337116,0.15903132
-0.022189245,-0.022189245,0.15363513
-0.021163115,-0.021163112,0.148668
-0.020277627,-0.020277625,0.14433704
-0.019622855,-0.01962285,0.14091055
-0.0192446,-0.019244594,0.13869402
-0.019266289,-0.019266287,0.13806434
-0.019938113,-0.019938108,0.139453
-0.021652987,-0.021652985,0.14331873
-0.024980225,-0.02498022,0.15009615
-0.030762805,-0.030762803,0.16007036
-0.040559698,-0.040559694,0.17315051
-0.052921936,-0.05292192,0.18656056
-0.05652918,-0.056529164,0.2028968
-0.05386631,-0.05386631,0.21989655
-0.046904113,-0.046904113,0.22953035
-0.03526019,-0.03526018,0.22996217
-0.023687487,-0.023687484,0.2259934
-0.013371544,-0.013371539,0.21973397
-0.0051572747,-0.005157271,0.213112
0.00063137757,0.00063137896,0.20761026
0.00433872,0.004338721,0.20391488
0.00650592,0.0065059178,0.2021856
0.0076325634,0.0076325615,0.20234083
0.008179482,0.008179482,0.20413944
0.008521081,0.008521079,0.2071742
0.008865914,0.008865912,0.2108338
0.009287903,0.0092879,0.2143503
0.0095057525,0.009505749,0.21694471
0.008894292,0.008894292,0.21792628
0.006160805,0.006160803,0.21697968
-0.0021045094,-0.0021045092,0.21326801
-0.007929428,-0.007929426,0.20511565
-0.01638091,-0.016380906,0.20354421
-0.021272281,-0.021272274,0.19913137
-0.020512383,-0.020512382,0.19283447
-0.0189119,-0.018911896,0.18682268
-0.016499009,-0.016499003,0.18108404
-0.014423814,-0.01442381,0.17618224
-0.012981833,-0.01298183,0.17226264
-0.011989082,-0.011989077,0.16919176
-0.011289063,-0.01128906,0.16683014
-0.01085064,-0.010850639,0.16512164
-0.010711123,-0.010711124,0.16409214
-0.010924181,-0.010924179,0.16384163
-0.011581587,-0.011581588,0.16455898
-0.012846483,-0.012846483,0.16652565
-0.014988454,-0.014988449,0.17010157
-0.01844776,-0.018447755,0.17572048
-0.023839964,-0.023839956,0.1837596
-0.032270774,-0.032270767,0.19416435
-0.04475349,-0.044753477,0.20523188
-0.050998874,-0.05099886,0.21355344
-0.05071471,-0.050714694,0.22828515
-0.051844735,-0.05184473,0.23865403
-0.046157073,-0.046157066,0.23812346
-0.0360686,-0.036068592,0.23064762
-0.025979463,-0.025979461,0.21957621
-0.017584255,-0.017584253,0.20712891
-0.0114821335,-0.011482133,0.19517581
-0.0074924366,-0.0074924356,0.18495932
-0.005047423,-0.005047424,0.17708886
-0.003644245,-0.0036442454,0.17182192
-0.0028691886,-0.002869189,0.1691618
-0.002358389,-0.002358388,0.16888371
-0.0018320491,-0.001832049,0.17056084
-0.0010840882,-0.0010840851,0.1735859
-7.456563e-05,-7.456531e-05,0.17718919
0.0009433579,0.0009433567,0.1805107
0.0013150355,0.0013150342,0.18274738
-0.0002589597,-0.00025895837,0.18336803
-0.006402196,-0.006402197,0.1812221
-0.0119938245,-0.011993822,0.17637113
-0.020523759,-0.020523757,0.17890052
-0.026907688,-0.026907684,0.17800769
-0.027770955,-0.027770955,0.17289254
-0.02673367,-0.026733665,0.1662735
-0.024498116,-0.024498109,0.15909067
-0.022506991,-0.022506984,0.15231211
-0.021083998,-0.021083992,0.14626256
-0.020005194,-0.020005189,0.14095655
-0.019086126,-0.019086123,0.13639633
