0,1,2
-0.02236348,-0.065730266,-0.0666504
-0.022648295,-0.069661826,-0.07061169
-0.022355082,-0.07323586,-0.07421352
-0.021796888,-0.07564091,-0.076635025
-0.021305114,-0.076143496,-0.07713536
-0.021166412,-0.074179746,-0.07514573
-0.021572817,-0.0694002,-0.070313685
-0.022643758,-0.061639935,-0.062471777
-0.024412243,-0.0508902,-0.051606923
-0.026848674,-0.037208095,-0.037766363
-0.029837575,-0.020620398,-0.020957226
-0.033009253,-0.0010972763,-0.0011170784
-0.03326437,0.02058602,0.021001002
-0.021775926,0.04005464,0.040927485
-0.0009130463,0.050202932,0.051455483
0.0104137575,0.059878062,0.06155141
0.0040170094,0.074674666,0.07687759
0.0010725646,0.08570656,0.08819785
0.0012205995,0.09237701,0.094918825
0.0027654716,0.09624834,0.098701455
0.0048794085,0.09818477,0.10049174
0.0072149383,0.09839456,0.10054483
0.009539102,0.096951924,0.098956086
0.011636254,0.09386932,0.09574295
0.013433018,0.08898012,0.09073183
0.0149240345,0.081937015,0.0835594
0.016187342,0.07218336,0.07364309
0.017367005,0.058918137,0.060146052
0.01865749,0.041139904,0.042024683
0.020251717,0.017968265,0.018364428
0.02230728,-0.010599008,-0.010835195
0.025129152,-0.04211939,-0.043051414
0.025681803,-0.06900401,-0.070471995
-0.0067665717,-0.07237029,-0.07378791
-0.011306796,-0.07154832,-0.07292926
-0.0076364223,-0.06888988,-0.07016839
-0.010835293,-0.06694068,-0.06809867
-0.014397288,-0.06735445,-0.06842759
-0.016702436,-0.06893002,-0.06993566
-0.018125312,-0.07107573,-0.07202766
-0.018899422,-0.07366813,-0.07457986
-0.019116627,-0.076382264,-0.07726229
-0.01894283,-0.07861846,-0.07946849
-0.018631922,-0.07968314,-0.08049927
-0.01845703,-0.07894123,-0.07971601
-0.018661834,-0.07590275,-0.07662697
-0.01938552,-0.07027678,-0.07094045
-0.020698898,-0.061939538,-0.062531516
-0.02262712,-0.050877962,-0.05138342
-0.025159927,-0.037119236,-0.03751437
-0.028220274,-0.020652805,-0.020895848
-0.03151048,-0.0013931234,-0.001411674
-0.032427613,0.020062141,0.020368952
-0.021922069,0.039462827,0.04013619
-0.002660804,0.049887743,0.050908558
